function_name,basicblock_id,number_of_instructions,instructions
lua_xmove,BB#5,20,"renamable $r10 = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.23, !tbaa !12); renamable $r11 = MOV64rm renamable $r10, 1, renamable $r9, 0, $noreg :: (load (s64) from %ir.27); MOV64mr renamable $rcx, 1, $noreg, 0, $noreg, killed renamable $r11 :: (store (s64) into %ir.21); renamable $r10b = MOV8rm killed renamable $r10, 1, renamable $r9, 8, $noreg :: (load (s8) from %ir.26, align 8, !tbaa !13); MOV8mr killed renamable $rcx, 1, $noreg, 8, $noreg, killed renamable $r10b :: (store (s8) into %ir.30, align 8, !tbaa !13); renamable $rcx = MOV64rm renamable $rsi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.31, !tbaa !12); renamable $r10 = LEA64r renamable $rcx, 1, $noreg, 16, $noreg; MOV64mr renamable $rsi, 1, $noreg, 16, $noreg, killed renamable $r10 :: (store (s64) into %ir.31, !tbaa !12); renamable $r10 = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.23, !tbaa !12); renamable $r11 = MOV64rm renamable $r10, 1, renamable $r9, 16, $noreg :: (load (s64) from %ir.37); MOV64mr renamable $rcx, 1, $noreg, 16, $noreg, killed renamable $r11 :: (store (s64) into %ir.33); renamable $r10b = MOV8rm killed renamable $r10, 1, renamable $r9, 24, $noreg :: (load (s8) from %ir.40, align 8, !tbaa !13); MOV8mr killed renamable $rcx, 1, $noreg, 24, $noreg, killed renamable $r10b :: (store (s8) into %ir.42, align 8, !tbaa !13); renamable $rcx = MOV64rm renamable $rsi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.31, !tbaa !12); renamable $rcx = nuw ADD64ri32 killed renamable $rcx(tied-def 0), 16, implicit-def dead $eflags; MOV64mr renamable $rsi, 1, $noreg, 16, $noreg, renamable $rcx :: (store (s64) into %ir.31, !tbaa !12); renamable $rdx = nuw ADD64ri32 killed renamable $rdx(tied-def 0), 2, implicit-def dead $eflags; renamable $r9 = nuw ADD64ri32 killed renamable $r9(tied-def 0), 32, implicit-def dead $eflags; CMP64rr renamable $r8, renamable $rdx, implicit-def $eflags; JCC_1 %bb.5, 5, implicit killed $eflags"
lua_xmove,BB#6,2,"TEST8ri renamable $al, 1, implicit-def $eflags, implicit killed $rax; JCC_1 %bb.8, 4, implicit $eflags"
lua_xmove,BB#7,7,"renamable $rax = MOV64rm killed renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.54, !tbaa !12); renamable $rdx = SHL64ri killed renamable $rdx(tied-def 0), 4, implicit-def dead $eflags; renamable $rdi = MOV64rm renamable $rax, 1, renamable $rdx, 0, $noreg :: (load (s64) from %ir.56); MOV64mr renamable $rcx, 1, $noreg, 0, $noreg, killed renamable $rdi :: (store (s64) into %ir.49); renamable $al = MOV8rm killed renamable $rax, 1, killed renamable $rdx, 8, $noreg :: (load (s8) from %ir.58, align 8, !tbaa !13); MOV8mr killed renamable $rcx, 1, $noreg, 8, $noreg, killed renamable $al :: (store (s8) into %ir.60, align 8, !tbaa !13); ADD64mi32 killed renamable $rsi, 1, $noreg, 16, $noreg, 16, implicit-def dead $eflags :: (store (s64) into %ir.61, !tbaa !12), (load (s64) from %ir.61, !tbaa !12)"
lua_xmove,BB#8,1,RET 0
lua_atpanic,BB#0,4,"renamable $rcx = MOV64rm killed renamable $rdi, 1, $noreg, 24, $noreg :: (load (s64) from %ir.3, !tbaa !17); renamable $rax = MOV64rm renamable $rcx, 1, $noreg, 256, $noreg :: (load (s64) from %ir.5, !tbaa !18); MOV64mr killed renamable $rcx, 1, $noreg, 256, $noreg, killed renamable $rsi :: (store (s64) into %ir.5, !tbaa !18); RET 0, $rax"
lua_version,BB#0,2,"renamable $xmm0 = MOVSDrm_alt $rip, 1, $noreg, %const.0, $noreg :: (load (s64) from constant-pool); RET 0, $xmm0"
lua_absindex,BB#0,4,"renamable $eax = COPY $esi, implicit-def $rax; renamable $ecx = LEA64_32r renamable $rax, 1, $noreg, -1, $noreg; CMP32ri killed renamable $ecx, -1001000, implicit-def $eflags; JCC_1 %bb.2, 2, implicit $eflags"
lua_absindex,BB#1,6,"renamable $rcx = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.6, !tbaa !12); renamable $rdx = MOV64rm killed renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.8, !tbaa !3); renamable $rcx = SUB64rm killed renamable $rcx(tied-def 0), killed renamable $rdx, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.9, !tbaa !12); renamable $rcx = exact SHR64ri killed renamable $rcx(tied-def 0), 4, implicit-def dead $eflags; renamable $ecx = nsw ADD32rr renamable $ecx(tied-def 0), renamable $eax, implicit-def dead $eflags, implicit killed $rax, implicit killed $rcx, implicit-def $rcx; renamable $eax = COPY renamable $ecx, implicit killed $rcx, implicit-def $rax"
lua_absindex,BB#2,2,"$eax = KILL renamable $eax, implicit killed $rax; RET 0, $eax"
lua_gettop,BB#0,7,"renamable $rax = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.2, !tbaa !12); renamable $rcx = MOV64rm killed renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.4, !tbaa !3); renamable $rax = SUB64rm killed renamable $rax(tied-def 0), killed renamable $rcx, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.5, !tbaa !12); renamable $rax = ADD64ri32 killed renamable $rax(tied-def 0), -16, implicit-def dead $eflags; renamable $rax = exact SHR64ri killed renamable $rax(tied-def 0), 4, implicit-def dead $eflags; $eax = KILL renamable $eax, implicit killed $rax; RET 0, $eax"
lua_settop,BB#0,5,"frame-setup PUSH64r killed $rbx, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 16; CFI_INSTRUCTION offset $rbx, -16; TEST32rr renamable $esi, renamable $esi, implicit-def $eflags; JCC_1 %bb.9, 8, implicit killed $eflags"
