function_name,basicblock_id,has_tracing_call,number_of_instructions,instructions
hwt_perf_init_collector,BB#7,false,1,renamable $ebp = MOV32ri -1
hwt_perf_init_collector,BB#8,false,3,"renamable $r14 = MOV64rm $rsp, 1, $noreg, 8, $noreg :: (load (s64) from %stack.6); CMP32mi renamable $r14, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.1); JCC_1 %bb.22, 5, implicit $eflags"
hwt_perf_init_collector,BB#9,false,5,"CALL64pcrel32 target-flags(x86-plt) @__errno_location, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $eax = MOV32rm killed renamable $rax, 1, $noreg, 0, $noreg :: (load (s32) from %ir.44), (load (s32) from %ir.70); MOV32mi renamable $r14, 1, $noreg, 0, $noreg, 2 :: (store (s32) into %ir.1); MOV32mr renamable $r14, 1, $noreg, 4, $noreg, killed renamable $eax :: (store (s32) into %ir.46), (store (s32) into %ir.72); JMP_1 %bb.22"
hwt_perf_init_collector,BB#10,false,38,"MOV8mr $rsp, 1, $noreg, 7, $noreg, killed renamable $bpl :: (store (s8) into %stack.8); renamable $rdi = LEA64r $rsp, 1, $noreg, 40, $noreg; $edx = MOV32ri 10; CALL64pcrel32 target-flags(x86-plt) @__isoc23_strtol, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $edx, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; MOV32mr $rsp, 1, $noreg, 64, $noreg, renamable $eax, implicit killed $rax :: (store (s32) into %ir.3, align 16, !tbaa !28); MOV64mi32 $rsp, 1, $noreg, 104, $noreg, 114785 :: (store (s64) into %ir.50); MOV32mi $rsp, 1, $noreg, 112, $noreg, 1 :: (store (s32) into %ir.51, align 16, !tbaa !29); renamable $xmm0 = MOV64toPQIrr killed renamable $r14; renamable $xmm0 = PUNPCKLDQrm killed renamable $xmm0(tied-def 0), $rip, 1, $noreg, %const.0, $noreg :: (load (s128) from constant-pool); renamable $xmm0 = nofpexcept SUBPDrm killed renamable $xmm0(tied-def 0), $rip, 1, $noreg, %const.1, $noreg, implicit $mxcsr :: (load (s128) from constant-pool); renamable $xmm1 = UNPCKHPDrr killed renamable $xmm1(tied-def 0), $xmm0; renamable $xmm1 = nofpexcept ADDSDrr killed renamable $xmm1(tied-def 0), killed renamable $xmm0, implicit $mxcsr; MOVAPSmr $rsp, 1, $noreg, 48, $noreg, killed renamable $xmm1 :: (store (s128) into %stack.7); CALL64pcrel32 target-flags(x86-plt) @getpagesize, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; renamable $xmm0 = CVTSI2SDrr killed renamable $eax; renamable $xmm0 = nofpexcept MULSDrm killed renamable $xmm0(tied-def 0), $rsp, 1, $noreg, 48, $noreg, implicit $mxcsr :: (load (s128) from %stack.7); renamable $rax = nofpexcept CVTTSD2SI64rr_Int renamable $xmm0, implicit $mxcsr; renamable $rcx = SAR64ri killed renamable $rcx(tied-def 0), 63, implicit-def dead $eflags; renamable $xmm0 = nofpexcept SUBSDrm killed renamable $xmm0(tied-def 0), $rip, 1, $noreg, %const.2, $noreg, implicit $mxcsr :: (load (s64) from constant-pool); renamable $rdx = nofpexcept CVTTSD2SI64rr_Int killed renamable $xmm0, implicit $mxcsr; renamable $rdx = AND64rr killed renamable $rdx(tied-def 0), killed renamable $rcx, implicit-def dead $eflags; renamable $rdx = OR64rr killed renamable $rdx(tied-def 0), killed renamable $rax, implicit-def dead $eflags; renamable $xmm0 = MOV64toPQIrr killed renamable $rdx; renamable $xmm0 = PUNPCKLDQrm killed renamable $xmm0(tied-def 0), $rip, 1, $noreg, %const.0, $noreg :: (load (s128) from constant-pool); renamable $xmm0 = nofpexcept SUBPDrm killed renamable $xmm0(tied-def 0), $rip, 1, $noreg, %const.1, $noreg, implicit $mxcsr :: (load (s128) from constant-pool); renamable $xmm1 = UNPCKHPDrr killed renamable $xmm1(tied-def 0), $xmm0; renamable $xmm1 = nofpexcept ADDSDrr killed renamable $xmm1(tied-def 0), killed renamable $xmm0, implicit $mxcsr; renamable $xmm1 = nofpexcept MULSDrm killed renamable $xmm1(tied-def 0), $rip, 1, $noreg, %const.3, $noreg, implicit $mxcsr :: (load (s64) from constant-pool); renamable $rax = nofpexcept CVTTSD2SI64rr killed renamable $xmm1, implicit $mxcsr; MOV32mr $rsp, 1, $noreg, 168, $noreg, renamable $eax, implicit killed $rax :: (store (s32) into %ir.60, align 8, !tbaa !30); CALL64pcrel32 target-flags(x86-plt) @syscall, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $al, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $rsi = LEA64r $rsp, 1, $noreg, 64, $noreg; renamable $ebp = MOV32ri -1; $ecx = MOV32ri -1; $r8d = MOV32ri -1; CALL64pcrel32 target-flags(x86-plt) @syscall, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $edx, implicit $ecx, implicit $r8d, implicit $r9d, implicit $al, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; CMP32ri renamable $eax, -1, implicit-def $eflags; JCC_1 %bb.8, 4, implicit $eflags"
hwt_perf_init_collector,BB#11,false,3,"CMP8mi $rsp, 1, $noreg, 7, $noreg, 0, implicit-def $eflags :: (load (s8) from %stack.8); renamable $r14 = MOV64rm $rsp, 1, $noreg, 8, $noreg :: (load (s64) from %stack.6); JCC_1 %bb.13, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#12,false,1,JMP_1 %bb.22
hwt_perf_init_collector,BB#13,false,15,"MOV64mi32 $rsp, 1, $noreg, 32, $noreg, 0 :: (store (s64) into %ir.5, !tbaa !31); MOV64mi32 $rsp, 1, $noreg, 24, $noreg, 0 :: (store (s64) into %ir.6, !tbaa !32); MOV64mi32 $rsp, 1, $noreg, 16, $noreg, 0 :: (store (s64) into %ir.7, !tbaa !32); renamable $rdi = LEA64r $rsp, 1, $noreg, 32, $noreg; renamable $rsi = LEA64r $rsp, 1, $noreg, 24, $noreg; renamable $rdx = LEA64r $rsp, 1, $noreg, 16, $noreg; CALL64pcrel32 target-flags(x86-plt) @get_tracing_extent, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $rdx, implicit-def $rsp, implicit-def $ssp; renamable $rcx = MOV64rm $rsp, 1, $noreg, 24, $noreg :: (dereferenceable load (s64) from %ir.6, !tbaa !32); renamable $r8 = MOV64rm $rsp, 1, $noreg, 16, $noreg :: (dereferenceable load (s64) from %ir.7, !tbaa !32); renamable $r9 = MOV64rm $rsp, 1, $noreg, 32, $noreg :: (dereferenceable load (s64) from %ir.5, !tbaa !31); renamable $rdx = LEA64r $rip, 1, $noreg, @.str.4, $noreg; renamable $rdi = LEA64r $rsp, 1, $noreg, 208, $noreg; CALL64pcrel32 target-flags(x86-plt) @snprintf, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit $rdx, implicit $rcx, implicit $r8, implicit $r9, implicit $al, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; CMP32ri killed renamable $eax, 512, implicit-def $eflags; JCC_1 %bb.16, 2, implicit killed $eflags"
hwt_perf_init_collector,BB#14,false,2,"CMP32mi renamable $r14, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.1); JCC_1 %bb.20, 5, implicit $eflags"
hwt_perf_init_collector,BB#15,false,2,renamable $eax = MOV32ri 1; JMP_1 %bb.19
hwt_perf_init_collector,BB#16,false,4,"renamable $rdx = LEA64r $rsp, 1, $noreg, 208, $noreg; CALL64pcrel32 target-flags(x86-plt) @ioctl, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $edi, implicit $rsi, implicit $rdx, implicit $al, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; CMP32ri killed renamable $eax, -1, implicit-def $eflags; JCC_1 %bb.21, 5, implicit $eflags"
